frame_id,track_id,bbox0,bbox1,bbox2,bbox3,6,7,8,9,loc_x,loc_y
1004,421,997.67,458.13,24.24,45.25,1,-1,-1,-1,1009.79,503.38
1004,587,825.61,873.69,53.45,104.2,1,-1,-1,-1,852.335,977.8900000000001
1004,719,1688.64,487.37,24.91,38.3,1,-1,-1,-1,1701.095,525.67
1004,805,1379.71,479.56,31.19,48.83,1,-1,-1,-1,1395.305,528.39
1004,868,1116.44,473.69,27.6,48.73,1,-1,-1,-1,1130.24,522.42
1004,1079,612.48,538.63,32.85,57.91,1,-1,-1,-1,628.905,596.54
1004,1377,1519.89,527.28,42.14,63.24,1,-1,-1,-1,1540.96,590.52
1004,1497,1517.02,520.92,31.94,52.86,1,-1,-1,-1,1532.99,573.78
1004,1509,1362.86,461.52,25.37,44.54,1,-1,-1,-1,1375.5449999999998,506.06
1004,1543,805.9,829.8,67.5,125.28,1,-1,-1,-1,839.65,955.0799999999999
1004,1565,1801.61,854.61,72.14,121.97,1,-1,-1,-1,1837.6799999999998,976.58
1004,1686,898.77,811.37,67.02,124.34,1,-1,-1,-1,932.28,935.71
1004,1730,1107.7,468.39,28.8,51.78,1,-1,-1,-1,1122.1000000000001,520.17
1004,1738,1013.21,518.8,25.52,53.48,1,-1,-1,-1,1025.97,572.28
1004,1779,1233.18,490.96,34.19,59.38,1,-1,-1,-1,1250.275,550.34
1004,1807,493.35,510.15,31.26,52.45,1,-1,-1,-1,508.98,562.6
1004,1810,926.61,506.88,33.57,60.03,1,-1,-1,-1,943.395,566.91
1004,1840,217.91,601.36,59.86,113.67,1,-1,-1,-1,247.84,715.03
1004,1850,866.08,501.17,30.93,51.28,1,-1,-1,-1,881.5450000000001,552.45
1004,1878,1583.15,544.91,25.87,40.55,1,-1,-1,-1,1596.085,585.4599999999999
1004,1896,1627.68,494.39,27.14,46.55,1,-1,-1,-1,1641.25,540.9399999999999
1004,1920,926.33,467.52,29.37,49.74,1,-1,-1,-1,941.015,517.26
1004,1929,1606.74,684.46,59.16,112.47,1,-1,-1,-1,1636.32,796.9300000000001
1004,1943,1445.78,570.48,45.95,70.87,1,-1,-1,-1,1468.7549999999999,641.35
1004,1964,1605.97,497.24,30.84,35.62,1,-1,-1,-1,1621.39,532.86
1004,1975,1416.33,565.15,43.74,69.16,1,-1,-1,-1,1438.1999999999998,634.31
1004,1983,165.07,722.14,74.01,120.52,1,-1,-1,-1,202.075,842.66
1004,1984,293.66,486.62,31.65,44.81,1,-1,-1,-1,309.485,531.4300000000001
1004,1989,1013.66,458.06,26.08,48.23,1,-1,-1,-1,1026.7,506.29
1004,1995,1866.7,937.19,50.04,111.13,1,-1,-1,-1,1891.72,1048.3200000000002
1004,1996,1655.06,939.88,149.59,127.94,1,-1,-1,-1,1729.855,1067.82
1004,1999,164.25,608.49,50.47,91.22,1,-1,-1,-1,189.485,699.71
1004,2002,18.3,807.04,82.13,140.99,1,-1,-1,-1,59.364999999999995,948.03
1004,2005,181.04,630.41,60.46,111.59,1,-1,-1,-1,211.26999999999998,742.0
1005,30,1311.92,467.04,27.64,46.23,1,-1,-1,-1,1325.74,513.27
1005,263,15.8,630.07,27.26,45.98,1,-1,-1,-1,29.43,676.0500000000001
1005,308,1214.78,496.13,38.29,62.11,1,-1,-1,-1,1233.925,558.24
1005,421,998.09,458.06,24.18,45.43,1,-1,-1,-1,1010.1800000000001,503.49
1005,587,822.35,878.7,52.54,102.46,1,-1,-1,-1,848.62,981.1600000000001
1005,719,1688.69,487.21,25.09,38.86,1,-1,-1,-1,1701.2350000000001,526.0699999999999
1005,805,1379.56,479.71,31.06,48.56,1,-1,-1,-1,1395.09,528.27
1005,868,1127.55,472.98,27.53,48.62,1,-1,-1,-1,1141.315,521.6
1005,1079,612.44,538.53,32.75,57.68,1,-1,-1,-1,628.815,596.2099999999999
